Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
Bogra,371,3.1943,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,743,6.4371,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,1114,9.5457,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,1486,12.2943,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,1857,13.6755,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,2229,14.9786,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,2600,16,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,2971,17.0214,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,3343,17.9571,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,3714,18.8429,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,4086,19.6321,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,4457,20.3929,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,4829,20.9964,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Bogra,5200,21.6,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,23.53719782,5.907168927,1.887208258,0.997532265,10400
Kenda,443,1.8357,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,886,4.4571,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,1329,6.7204,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,1771,7.9224,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,2214,9.2429,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,2657,10.5714,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,3100,11.7667,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,3543,12.5048,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,3986,13.1304,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,4429,13.7476,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,4871,14.4857,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,5314,15.1714,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,5757,15.8095,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Kenda,6200,16.4,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,18.65834839,5.379971067,1.717429106,0.997944185,12400
Narayankuri,486,1.0714,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,971,3.9143,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,1457,6.1714,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,1943,7.6286,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,2429,9.2286,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,2914,10.5071,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,3400,11.6,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,3886,12.45,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,4371,13.4,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,4857,14.5214,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
